"","Package","LibPath","Version","Priority","Depends","Imports","LinkingTo","Suggests","Enhances","License","License_is_FOSS","License_restricts_use","OS_type","MD5sum","NeedsCompilation","Built"
"ISLR","ISLR","/Library/Frameworks/R.framework/Versions/3.5/Resources/library","1.2",NA,"R (>= 2.10)",NA,NA,"MASS",NA,"GPL-2",NA,NA,NA,NA,"no","3.5.0"
"ISOcodes","ISOcodes","/Library/Frameworks/R.framework/Versions/3.5/Resources/library","2018.06.29",NA,"R (>= 2.10.0)",NA,NA,NA,NA,"GPL-2",NA,NA,NA,NA,"no","3.5.0"
"ISwR","ISwR","/Library/Frameworks/R.framework/Versions/3.5/Resources/library","2.0-7",NA,"R (>= 2.6.0)",NA,NA,"survival,MASS",NA,"GPL (>= 2)",NA,NA,NA,NA,"no","3.5.0"
"iterators","iterators","/Library/Frameworks/R.framework/Versions/3.5/Resources/library","1.0.10",NA,"R (>= 2.5.0), utils",NA,NA,"RUnit, foreach",NA,"Apache License (== 2.0)",NA,NA,NA,NA,"no","3.5.0"
"itertools","itertools","/Library/Frameworks/R.framework/Versions/3.5/Resources/library","0.1-3",NA,"R (>= 2.14.0), iterators(>= 1.0.0)","parallel",NA,"foreach",NA,"GPL-2",NA,NA,NA,NA,"no","3.5.0"
"janeaustenr","janeaustenr","/Library/Frameworks/R.framework/Versions/3.5/Resources/library","0.1.5",NA,"R (>= 3.1.2)",NA,NA,"dplyr, testthat",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","3.5.0"
"janitor","janitor","/Library/Frameworks/R.framework/Versions/3.5/Resources/library","1.1.0",NA,"R (>= 3.1.2)","dplyr (>= 0.7.0), tidyr (>= 0.7.0), snakecase (>= 0.9.0),
magrittr, purrr, rlang",NA,"testthat, knitr, rmarkdown",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","3.5.0"
"joineRML","joineRML","/Library/Frameworks/R.framework/Versions/3.5/Resources/library","0.4.2",NA,"R (>= 3.3.0), nlme, survival","cobs, doParallel, foreach, ggplot2, graphics, lme4 (>= 1.1-8),
MASS, Matrix, mvtnorm, parallel, randtoolbox, Rcpp (>= 0.12.7),
stats, utils","Rcpp, RcppArmadillo","JM, joineR, knitr, rmarkdown, testthat",NA,"GPL-3 | file LICENSE",NA,NA,NA,NA,"yes","3.5.0"
"jomo","jomo","/Library/Frameworks/R.framework/Versions/3.5/Resources/library","2.6-2",NA,NA,"stats, lme4, survival",NA,"BaBooN, mitml",NA,"GPL-2",NA,NA,NA,NA,"yes","3.5.0"
"jose","jose","/Library/Frameworks/R.framework/Versions/3.5/Resources/library","0.2",NA,"openssl (>= 1.0)","jsonlite",NA,"spelling, testthat, knitr, rmarkdown",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","3.5.0"
"jpeg","jpeg","/Library/Frameworks/R.framework/Versions/3.5/Resources/library","0.1-8",NA,"R (>= 2.9.0)",NA,NA,NA,NA,"GPL-2 | GPL-3",NA,NA,NA,NA,"yes","3.5.0"
"jsonlite","jsonlite","/Library/Frameworks/R.framework/Versions/3.5/Resources/library","1.6",NA,"methods",NA,NA,"httr, curl, plyr, testthat, knitr, rmarkdown, R.rsp, sp",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","3.5.0"
"JuliaCall","JuliaCall","/Library/Frameworks/R.framework/Versions/3.5/Resources/library","0.14.0",NA,"R (>= 3.4.0)","utils, R6, Rcpp (>= 0.12.7)","Rcpp","testthat, knitr, rmarkdown",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","3.5.0"
"kableExtra","kableExtra","/Library/Frameworks/R.framework/Versions/3.5/Resources/library","0.9.0",NA,"R (>= 3.1.0)","knitr (>= 1.16), magrittr, stringr (>= 1.0), xml2 (>= 1.1.1),
rvest, rmarkdown (>= 1.6.0), readr, scales, viridisLite, stats,
grDevices, htmltools, rstudioapi",NA,"testthat, magick, formattable, dplyr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","3.5.0"
"Kendall","Kendall","/Library/Frameworks/R.framework/Versions/3.5/Resources/library","2.2",NA,"R (>= 2.1.0)","boot",NA,NA,NA,"GPL (>= 2)",NA,NA,NA,NA,NA,"3.5.0"
"kernlab","kernlab","/Library/Frameworks/R.framework/Versions/3.5/Resources/library","0.9-26",NA,"R (>= 2.10)","methods, stats, grDevices, graphics",NA,NA,NA,"GPL-2",NA,NA,NA,NA,"yes","3.5.0"
"KernSmooth","KernSmooth","/Library/Frameworks/R.framework/Versions/3.5/Resources/library","2.23-15","recommended","R (>= 2.5.0), stats",NA,NA,"MASS",NA,"Unlimited",NA,NA,NA,NA,"yes","3.5.1"
"KFAS","KFAS","/Library/Frameworks/R.framework/Versions/3.5/Resources/library","1.3.2",NA,"R (>= 3.1.0)","stats",NA,"knitr, lme4, MASS, Matrix, testthat",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","3.5.0"
"klaR","klaR","/Library/Frameworks/R.framework/Versions/3.5/Resources/library","0.6-14",NA,"R (>= 2.10.0), MASS","combinat, questionr, grDevices, stats, utils, graphics",NA,"scatterplot3d (>= 0.3-22), som, mlbench, rpart, e1071",NA,"GPL-2",NA,NA,NA,NA,"no","3.5.0"
"knitcitations","knitcitations","/Library/Frameworks/R.framework/Versions/3.5/Resources/library","1.0.8",NA,"R (>= 3.0)","RefManageR (>= 0.8.2), digest, httr (>= 0.3), methods, utils",NA,"testthat, knitr (>= 1.6)",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","3.5.0"
"knitr","knitr","/Library/Frameworks/R.framework/Versions/3.5/Resources/library","1.21",NA,"R (>= 3.1.0)","evaluate (>= 0.10), highr, markdown, stringr (>= 0.6), yaml
(>= 2.1.19), methods, xfun, tools",NA,"formatR, testit, digest, rgl (>= 0.95.1201), codetools,
rmarkdown, htmlwidgets (>= 0.7), webshot, tikzDevice (>= 0.10),
tinytex, reticulate (>= 1.4), JuliaCall (>= 0.11.1), png, jpeg,
gifski, xml2 (>= 1.2.0), httr, DBI (>= 0.4-1), showtext,
tibble, styler",NA,"GPL",NA,NA,NA,NA,"no","3.5.1"
"koRpus","koRpus","/Library/Frameworks/R.framework/Versions/3.5/Resources/library","0.10-2",NA,"R (>= 2.10.0),methods,data.table",NA,NA,"testthat,tm,SnowballC,shiny","rkward","GPL (>= 3)",NA,NA,NA,NA,"no","3.5.0"
"ks","ks","/Library/Frameworks/R.framework/Versions/3.5/Resources/library","1.11.3",NA,"R (>= 2.10.0)","FNN (>= 1.1), kernlab, KernSmooth (>= 2.22), Matrix, mclust,
mgcv, multicool, mvtnorm (>= 1.0-0)",NA,"maps, MASS, misc3d (>= 0.4-0), OceanView, oz, rgl (>= 0.66)",NA,"GPL-2 | GPL-3",NA,NA,NA,NA,"yes","3.5.0"
"labeling","labeling","/Library/Frameworks/R.framework/Versions/3.5/Resources/library","0.3",NA,NA,NA,NA,NA,NA,"MIT + file LICENSE | Unlimited",NA,NA,NA,NA,"no","3.5.0"
"labelled","labelled","/Library/Frameworks/R.framework/Versions/3.5/Resources/library","1.1.0",NA,NA,"haven (>= 1.0.0), dplyr, stats",NA,"testthat, knitr, questionr","memisc","GPL-3",NA,NA,NA,NA,"no","3.5.0"
"laeken","laeken","/Library/Frameworks/R.framework/Versions/3.5/Resources/library","0.4.6",NA,"R (>= 2.10.0), boot, MASS",NA,NA,NA,NA,"GPL (>= 2)",NA,NA,NA,NA,"no","3.5.0"
"Lahman","Lahman","/Library/Frameworks/R.framework/Versions/3.5/Resources/library","6.0-0",NA,"R (>= 2.10)","dplyr",NA,"lattice, ggplot2, googleVis, data.table, vcd, reshape2,
tidyr, zipcode",NA,"GPL",NA,NA,NA,NA,"no","3.5.0"
"lambda.r","lambda.r","/Library/Frameworks/R.framework/Versions/3.5/Resources/library","1.2.3",NA,"R (>= 3.0.0)","formatR",NA,"testit",NA,"LGPL-3",NA,NA,NA,NA,"no","3.5.0"
"lars","lars","/Library/Frameworks/R.framework/Versions/3.5/Resources/library","1.2",NA,"R (>= 2.10)",NA,NA,NA,NA,"GPL-2",NA,NA,NA,NA,"yes","3.5.0"
"later","later","/Library/Frameworks/R.framework/Versions/3.5/Resources/library","0.7.3",NA,NA,"Rcpp (>= 0.12.9), rlang","Rcpp, BH","knitr, rmarkdown, testthat",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","3.5.0"
"lattice","lattice","/Library/Frameworks/R.framework/Versions/3.5/Resources/library","0.20-35","recommended","R (>= 3.0.0)","grid, grDevices, graphics, stats, utils",NA,"KernSmooth, MASS, latticeExtra","chron","GPL (>= 2)",NA,NA,NA,NA,"yes","3.5.1"
"latticeExtra","latticeExtra","/Library/Frameworks/R.framework/Versions/3.5/Resources/library","0.6-28",NA,"R (>= 2.10.0), lattice, RColorBrewer","grid, stats, utils, grDevices",NA,"maps, mapproj, deldir, tripack, zoo, MASS, quantreg, mgcv",NA,"GPL (>= 2)",NA,NA,NA,NA,"no","3.5.0"
"lava","lava","/Library/Frameworks/R.framework/Versions/3.5/Resources/library","1.6.2",NA,"R (>= 3.0)","grDevices, graphics, methods, numDeriv, stats, survival,
SQUAREM, utils",NA,"KernSmooth, Matrix, Rgraphviz, ascii, data.table, ellipse,
fields, foreach, geepack, gof (>= 0.9), graph, igraph (>= 0.6),
lava.tobit (>= 0.4.7), lme4, mets (>= 1.1), nlme, optimx,
polycor, quantreg, rgl, testthat (>= 0.11), visNetwork, zoo",NA,"GPL-3",NA,NA,NA,NA,"no","3.5.0"
"lava.tobit","lava.tobit","/Library/Frameworks/R.framework/Versions/3.5/Resources/library","0.5",NA,"lava (>= 1.5), mets (>= 1.2.2), mvtnorm, survival",NA,NA,NA,NA,"GPL-3",NA,NA,NA,NA,"no","3.5.0"
"lavaan","lavaan","/Library/Frameworks/R.framework/Versions/3.5/Resources/library","0.6-2",NA,"R(>= 3.4)","methods, stats4, stats, utils, graphics, MASS, mnormt,
pbivnorm, numDeriv",NA,"testthat",NA,"GPL (>= 2)",NA,NA,NA,NA,"no","3.5.0"
"lazyeval","lazyeval","/Library/Frameworks/R.framework/Versions/3.5/Resources/library","0.2.1",NA,"R (>= 3.1.0)",NA,NA,"knitr, rmarkdown (>= 0.2.65), testthat, covr",NA,"GPL-3",NA,NA,NA,NA,"yes","3.5.0"
"lazyrmd","lazyrmd","/Library/Frameworks/R.framework/Versions/3.5/Resources/library","0.2.0",NA,"R (>= 3.2.3)","knitr, rmarkdown, htmlwidgets, digest, htmltools",NA,"testthat, networkD3",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","3.5.0"
"lda","lda","/Library/Frameworks/R.framework/Versions/3.5/Resources/library","1.4.2",NA,"R (>= 2.10)",NA,NA,"Matrix, reshape2, ggplot2 (>= 1.0.0), penalized, nnet",NA,"LGPL",NA,NA,NA,NA,"yes","3.5.0"
"leaflet","leaflet","/Library/Frameworks/R.framework/Versions/3.5/Resources/library","2.0.1",NA,"R (>= 3.1.0)","base64enc, crosstalk, htmlwidgets, htmltools, magrittr,
markdown, methods, png, RColorBrewer, raster, scales (>=
0.2.5), sp, stats, viridis",NA,"knitr, maps, sf, shiny, testit (>= 0.4), rgdal, rgeos, R6,
RJSONIO, purrr, testthat",NA,"GPL-3",NA,NA,NA,NA,"no","3.5.0"
"leaps","leaps","/Library/Frameworks/R.framework/Versions/3.5/Resources/library","3.0",NA,"",NA,NA,"biglm",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","3.5.0"
"LearnBayes","LearnBayes","/Library/Frameworks/R.framework/Versions/3.5/Resources/library","2.15.1",NA,NA,NA,NA,NA,NA,"GPL (>= 2)",NA,NA,NA,NA,"no","3.5.0"
"lettercase","lettercase","/Library/Frameworks/R.framework/Versions/3.5/Resources/library","0.13.1",NA,"R (>= 3.1.0), stringr (>= 1.0.0)",NA,NA,"testthat, knitr, magrittr (>= 1.5)",NA,"GPL-2 | file LICENSE",NA,NA,NA,NA,"no","3.5.0"
"lexicon","lexicon","/Library/Frameworks/R.framework/Versions/3.5/Resources/library","1.0.0",NA,"R (>= 3.2.2)","data.table, syuzhet (>= 1.0.1)",NA,NA,NA,"GPL-3",NA,NA,NA,NA,"no","3.5.0"
"lfda","lfda","/Library/Frameworks/R.framework/Versions/3.5/Resources/library","1.1.2",NA,"R (>= 3.1.0)","plyr, grDevices, rARPACK",NA,"testthat, rgl",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","3.5.0"
"lfe","lfe","/Library/Frameworks/R.framework/Versions/3.5/Resources/library","2.8",NA,"R (>= 2.15.2), Matrix (>= 1.1-2)","Formula, xtable, compiler, utils, methods, sandwich, parallel",NA,"knitr, digest, igraph, plm, cubature(>= 1.3-1), numDeriv,
data.table",NA,"Artistic-2.0",NA,NA,NA,NA,"yes","3.5.0"
"libcoin","libcoin","/Library/Frameworks/R.framework/Versions/3.5/Resources/library","1.0-1",NA,"R (>= 3.4.0)","stats, mvtnorm","mvtnorm","coin",NA,"GPL-2",NA,NA,NA,NA,"yes","3.5.0"
"lintr","lintr","/Library/Frameworks/R.framework/Versions/3.5/Resources/library","1.0.2",NA,"R (>= 3.1.1)","rex, crayon, codetools, stringdist, testthat, digest, igraph,
rstudioapi (>= 0.2), httr, jsonlite, knitr, stats, utils",NA,"rmarkdown, mockery",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","3.5.0"
"listviewer","listviewer","/Library/Frameworks/R.framework/Versions/3.5/Resources/library","2.0.0",NA,NA,"htmltools, htmlwidgets, shiny",NA,"jsonlite, miniUI, rstudioapi","reactR","MIT + file LICENSE",NA,NA,NA,NA,"no","3.5.0"
"lle","lle","/Library/Frameworks/R.framework/Versions/3.5/Resources/library","1.1",NA,"scatterplot3d, MASS, snowfall",NA,NA,"rgl",NA,"GPL-3",NA,NA,NA,NA,NA,"3.5.0"
"lme4","lme4","/Library/Frameworks/R.framework/Versions/3.5/Resources/library","1.1-17",NA,"R (>= 3.2.0), Matrix (>= 1.2-1), methods, stats","graphics, grid, splines, utils, parallel, MASS, lattice, nlme
(>= 3.1-123), minqa (>= 1.1.15), nloptr (>= 1.0.4)","Rcpp (>= 0.10.5), RcppEigen","knitr, boot, PKPDmodels, MEMSS, testthat (>= 0.8.1), ggplot2,
mlmRev, optimx (>= 2013.8.6), gamm4, pbkrtest, HSAUR2, numDeriv",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","3.5.0"
"lmodel2","lmodel2","/Library/Frameworks/R.framework/Versions/3.5/Resources/library","1.7-3",NA,"R (>= 2.14.0)",NA,NA,NA,NA,"GPL-2",NA,NA,NA,NA,"no","3.5.0"
"lmtest","lmtest","/Library/Frameworks/R.framework/Versions/3.5/Resources/library","0.9-36",NA,"R (>= 2.10.0), stats, zoo","graphics",NA,"car, strucchange, sandwich, dynlm, stats4, survival, AER",NA,"GPL-2 | GPL-3",NA,NA,NA,NA,"yes","3.5.0"
"loe","loe","/Library/Frameworks/R.framework/Versions/3.5/Resources/library","1.1",NA,"R (>= 3.2.3), MASS",NA,NA,"igraph, Matrix, vegan",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","3.5.0"
"logspline","logspline","/Library/Frameworks/R.framework/Versions/3.5/Resources/library","2.1.11",NA,NA,"stats, graphics",NA,NA,NA,"Apache License 2.0",NA,NA,NA,NA,"yes","3.5.0"
"lokern","lokern","/Library/Frameworks/R.framework/Versions/3.5/Resources/library","1.1-8",NA,NA,"grDevices, graphics, stats, utils, sfsmisc (>= 1.0-12)",NA,NA,NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","3.5.0"
"longmemo","longmemo","/Library/Frameworks/R.framework/Versions/3.5/Resources/library","1.0-0",NA,"stats",NA,NA,"sfsmisc","fracdiff","GPL (>= 2)",NA,NA,NA,NA,NA,"3.5.0"
"loo","loo","/Library/Frameworks/R.framework/Versions/3.5/Resources/library","2.0.0",NA,"R (>= 3.1.2)","graphics, matrixStats (>= 0.52), parallel, stats",NA,"bayesplot (>= 1.5.0), knitr, rmarkdown, rstan, rstanarm,
rstantools, testthat",NA,"GPL (>= 3)",NA,NA,NA,NA,"no","3.5.0"
"lpSolve","lpSolve","/Library/Frameworks/R.framework/Versions/3.5/Resources/library","5.6.13",NA,NA,NA,NA,NA,NA,"LGPL-2",NA,NA,NA,NA,"yes","3.5.0"
"lsa","lsa","/Library/Frameworks/R.framework/Versions/3.5/Resources/library","0.73.1",NA,"SnowballC",NA,NA,"tm",NA,"GPL (>= 2)",NA,NA,NA,NA,"no","3.5.0"
"lsmeans","lsmeans","/Library/Frameworks/R.framework/Versions/3.5/Resources/library","2.27-62",NA,"methods, R (>= 3.2)","estimability, graphics, stats, utils, nlme, coda (>= 0.17),
multcomp, plyr, mvtnorm, xtable (>= 1.8-2)",NA,"car, lattice, MCMCpack, mediation, multcompView, ordinal,
pbkrtest (>= 0.4-1), CARBayes, coxme, gee, geepack, glmmADMB,
lme4, lmerTest (>= 2.0.32), MASS, MCMCglmm, nnet, pscl, rsm,
rstan, rstanarm, survival",NA,"GPL-2 | GPL-3",NA,NA,NA,NA,"no","3.5.0"
"lubridate","lubridate","/Library/Frameworks/R.framework/Versions/3.5/Resources/library","1.7.4",NA,"methods, R (>= 3.0.0)","stringr, Rcpp (>= 0.12.13),","Rcpp,","testthat, knitr, covr","chron, fts, timeSeries, timeDate, tis, tseries, xts, zoo","GPL (>= 2)",NA,NA,NA,NA,"yes","3.5.0"
"magic","magic","/Library/Frameworks/R.framework/Versions/3.5/Resources/library","1.5-8",NA,"R (>= 2.10), abind",NA,NA,NA,NA,"GPL-2",NA,NA,NA,NA,"no","3.5.0"
"magick","magick","/Library/Frameworks/R.framework/Versions/3.5/Resources/library","1.9",NA,NA,"Rcpp (>= 0.12.12), magrittr, knitr, curl","Rcpp","spelling, jsonlite, methods, rmarkdown, rsvg, webp, png,
pdftools, ggplot2, raster, rgdal, gapminder, IRdisplay,
tesseract (>= 2.0)",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","3.5.0"
"magrittr","magrittr","/Library/Frameworks/R.framework/Versions/3.5/Resources/library","1.5",NA,NA,NA,NA,"testthat, knitr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","3.5.0"
"mallet","mallet","/Library/Frameworks/R.framework/Versions/3.5/Resources/library","1.0",NA,"rJava",NA,NA,NA,NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","3.5.0"
"manipulate","manipulate","/Library/Frameworks/R.framework/Versions/3.5/Resources/library","1.0.1",NA,"R (>= 2.11.1)",NA,NA,NA,NA,"GPL-2",NA,NA,NA,NA,"no","3.5.0"
"manipulateWidget","manipulateWidget","/Library/Frameworks/R.framework/Versions/3.5/Resources/library","0.10.0",NA,NA,"shiny (>= 1.0.3), miniUI, htmltools, htmlwidgets, knitr,
methods, tools, base64enc, grDevices, codetools, webshot",NA,"dygraphs, leaflet, plotly, xts, rmarkdown, testthat, covr",NA,"GPL (>= 2) | file LICENSE",NA,NA,NA,NA,"no","3.5.0"
"mapdata","mapdata","/Library/Frameworks/R.framework/Versions/3.5/Resources/library","2.3.0",NA,"R (>= 2.14.0), maps (>= 2.0-7)",NA,NA,NA,NA,"GPL-2",NA,NA,NA,NA,"yes","3.5.0"
"mapproj","mapproj","/Library/Frameworks/R.framework/Versions/3.5/Resources/library","1.2.6",NA,"R (>= 3.0.0), maps (>= 2.3-0)","stats, graphics",NA,NA,NA,"Lucent Public License",NA,NA,NA,NA,"yes","3.5.0"
"maps","maps","/Library/Frameworks/R.framework/Versions/3.5/Resources/library","3.3.0",NA,"R (>= 3.0.0)","graphics, utils",NA,"mapproj (>= 1.2-0), mapdata (>= 2.3.0), sp, maptools,
rnaturalearth",NA,"GPL-2",NA,NA,NA,NA,"yes","3.5.0"
"maptools","maptools","/Library/Frameworks/R.framework/Versions/3.5/Resources/library","0.9-2",NA,"R (>= 2.10), sp (>= 1.0-11)","foreign (>= 0.8), methods, grid, lattice, stats, utils,
grDevices",NA,"rgeos (>= 0.1-8), spatstat (>= 1.18), PBSmapping, maps,
RColorBrewer, raster, polyclip, spatstat.utils","gpclib, RArcInfo","GPL (>= 2)",NA,NA,NA,NA,"yes","3.5.0"
"markdown","markdown","/Library/Frameworks/R.framework/Versions/3.5/Resources/library","0.9",NA,"R (>= 2.11.1)","utils, mime (>= 0.3)",NA,"knitr, RCurl",NA,"GPL-2",NA,NA,NA,NA,"yes","3.5.0"
"MASS","MASS","/Library/Frameworks/R.framework/Versions/3.5/Resources/library","7.3-50","recommended","R (>= 3.1.0), grDevices, graphics, stats, utils","methods",NA,"lattice, nlme, nnet, survival",NA,"GPL-2 | GPL-3",NA,NA,NA,NA,"yes","3.5.1"
"Matrix","Matrix","/Library/Frameworks/R.framework/Versions/3.5/Resources/library","1.2-14","recommended","R (>= 3.2.0)","methods, graphics, grid, stats, utils, lattice",NA,"expm, MASS","MatrixModels, graph, SparseM, sfsmisc","GPL (>= 2) | file LICENCE",NA,NA,NA,NA,"yes","3.5.1"
"matrixcalc","matrixcalc","/Library/Frameworks/R.framework/Versions/3.5/Resources/library","1.0-3",NA,"R (>= 2.0.1)",NA,NA,NA,NA,"GPL (>= 2)",NA,NA,NA,NA,NA,"3.5.0"
"MatrixModels","MatrixModels","/Library/Frameworks/R.framework/Versions/3.5/Resources/library","0.4-1",NA,"R (>= 3.0.1)","stats, methods, Matrix (>= 1.1-5)",NA,NA,NA,"GPL (>= 2)",NA,NA,NA,NA,"no","3.5.0"
"matrixStats","matrixStats","/Library/Frameworks/R.framework/Versions/3.5/Resources/library","0.54.0",NA,"R (>= 2.12.0)",NA,NA,"base64enc, ggplot2, knitr, microbenchmark, R.devices, R.rsp",NA,"Artistic-2.0",NA,NA,NA,NA,"yes","3.5.0"
"maxLik","maxLik","/Library/Frameworks/R.framework/Versions/3.5/Resources/library","1.3-4",NA,"R (>= 2.4.0), miscTools (>= 0.6-8), methods","sandwich",NA,NA,NA,"GPL (>= 2)",NA,NA,NA,NA,"no","3.5.0"
"mclust","mclust","/Library/Frameworks/R.framework/Versions/3.5/Resources/library","5.4.1",NA,"R (>= 3.0)","stats, utils, graphics, grDevices",NA,"knitr (>= 1.12), rmarkdown (>= 0.9), mix (>= 1.0), geometry
(>= 0.3-6), MASS",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","3.5.0"
"mda","mda","/Library/Frameworks/R.framework/Versions/3.5/Resources/library","0.4-10",NA,"R (>= 1.9.0), stats, class",NA,NA,"earth",NA,"GPL-2",NA,NA,NA,NA,"yes","3.5.0"
"measurements","measurements","/Library/Frameworks/R.framework/Versions/3.5/Resources/library","1.2.0",NA,NA,NA,NA,NA,NA,"GPL-3",NA,NA,NA,NA,"no","3.5.0"
"memisc","memisc","/Library/Frameworks/R.framework/Versions/3.5/Resources/library","0.99.14.9",NA,"R (>= 3.3.0), lattice, stats, methods, utils, MASS","grid, repr",NA,"splines, knitr, rmarkdown, sandwich","AER, car, eha, lme4, ordinal, simex","GPL-2",NA,NA,NA,NA,"yes","3.5.0"
"memoise","memoise","/Library/Frameworks/R.framework/Versions/3.5/Resources/library","1.1.0",NA,NA,"digest (>= 0.6.3)",NA,"testthat, aws.s3, httr, covr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","3.5.0"
"MEMSS","MEMSS","/Library/Frameworks/R.framework/Versions/3.5/Resources/library","0.9-2",NA,"R(>= 2.12.0), lme4 (>= 0.999375-36)",NA,NA,"lattice",NA,"GPL (>= 2)",NA,NA,NA,NA,"no","3.5.0"
"methods","methods","/Library/Frameworks/R.framework/Versions/3.5/Resources/library","3.5.1","base",NA,"utils, stats",NA,"codetools",NA,"Part of R 3.5.1",NA,NA,NA,NA,"yes","3.5.1"
"mets","mets","/Library/Frameworks/R.framework/Versions/3.5/Resources/library","1.2.3.1",NA,"R (>= 3.3), timereg (>= 1.9.2), lava (>= 1.6)","numDeriv, compiler, Rcpp, splines, survival","Rcpp, RcppArmadillo","lava.tobit (>= 0.4-7), prodlim, testthat (>= 0.11), ucminf,
R.rsp (>= 0.40)",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","3.5.0"
"mgcv","mgcv","/Library/Frameworks/R.framework/Versions/3.5/Resources/library","1.8-24","recommended","R (>= 2.14.0), nlme (>= 3.1-64)","methods, stats, graphics, Matrix",NA,"splines, parallel, survival, MASS",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","3.5.1"
"mgsub","mgsub","/Library/Frameworks/R.framework/Versions/3.5/Resources/library","1.5.0",NA,NA,NA,NA,"covr, testthat, knitr, rmarkdown, qdap, microbenchmark",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","3.5.0"
"mi","mi","/Library/Frameworks/R.framework/Versions/3.5/Resources/library","1.0",NA,"R (>= 3.0.0), methods, Matrix, stats4","arm (>= 1.4-11)",NA,"betareg, lattice, knitr, MASS, nnet, parallel, sn, survival,
truncnorm, foreign",NA,"GPL (>= 2)",NA,NA,NA,NA,"no","3.5.0"
"mice","mice","/Library/Frameworks/R.framework/Versions/3.5/Resources/library","3.3.0",NA,"methods, R (>= 2.10.0), lattice","broom, dplyr, grDevices, graphics, MASS, mitml, nnet,
parallel, Rcpp, rlang, rpart, splines, stats, survival, utils","Rcpp","AGD, CALIBERrfimpute, DPpackage, gamlss, lme4, mitools, nlme,
pan, randomForest, Zelig, BSDA, knitr, rmarkdown, testthat,
HSAUR3, micemd, miceadds, tidyr",NA,"GPL-2 | GPL-3",NA,NA,NA,NA,"yes","3.5.0"
"microbenchmark","microbenchmark","/Library/Frameworks/R.framework/Versions/3.5/Resources/library","1.4-4",NA,NA,"graphics, stats",NA,"ggplot2, multcomp",NA,"BSD_2_clause + file LICENSE",NA,NA,NA,NA,"yes","3.5.0"
"mime","mime","/Library/Frameworks/R.framework/Versions/3.5/Resources/library","0.6",NA,NA,"tools",NA,NA,NA,"GPL",NA,NA,NA,NA,"yes","3.5.0"
"miniUI","miniUI","/Library/Frameworks/R.framework/Versions/3.5/Resources/library","0.1.1.1",NA,NA,"shiny (>= 0.13), htmltools (>= 0.3), utils",NA,NA,NA,"GPL-3",NA,NA,NA,NA,"no","3.5.0"
"minqa","minqa","/Library/Frameworks/R.framework/Versions/3.5/Resources/library","1.2.4",NA,NA,"Rcpp (>= 0.9.10)","Rcpp",NA,NA,"GPL-2",NA,NA,NA,NA,"yes","3.5.0"
"miscTools","miscTools","/Library/Frameworks/R.framework/Versions/3.5/Resources/library","0.6-22",NA,"R (>= 2.14.0)",NA,NA,"Ecdat (>= 0.1-5)",NA,"GPL (>= 2)",NA,NA,NA,NA,"no","3.5.0"
"missForest","missForest","/Library/Frameworks/R.framework/Versions/3.5/Resources/library","1.4",NA,"randomForest,foreach,itertools",NA,NA,NA,NA,"GPL (>= 2)",NA,NA,NA,NA,"no","3.5.0"
"missMDA","missMDA","/Library/Frameworks/R.framework/Versions/3.5/Resources/library","1.13",NA,"R (>= 3.3.0)","FactoMineR,graphics,grDevices,mice,mvtnorm,stats,utils",NA,"knitr",NA,"GPL (>= 2)",NA,NA,NA,NA,"no","3.5.0"
"mitml","mitml","/Library/Frameworks/R.framework/Versions/3.5/Resources/library","0.3-6",NA,NA,"pan, jomo, haven, grDevices, graphics, stats, utils",NA,"mice, miceadds, Amelia, lme4, nlme, geepack, survival, knitr,
rmarkdown",NA,"GPL (>= 2)",NA,NA,NA,NA,"no","3.5.0"
"mitools","mitools","/Library/Frameworks/R.framework/Versions/3.5/Resources/library","2.3",NA,"R (>= 2.10)",NA,NA,"RODBC, DBI, foreign",NA,"GPL-2",NA,NA,NA,NA,"no","3.5.0"
